observation,data_marking,statistical_unit_eng,statistical_unit_cym,measure_type_eng,measure_type_cym,observation_type,empty,obs_type_value,unit_multiplier,unit_of_measure_eng,unit_of_measure_cym,confidentuality,empty1,geographic_area,empty2,empty3,time_dim_item_id,time_dim_item_label_eng,time_dim_item_label_cym,time_type,empty4,statistical_population_id,statistical_population_label_eng,statistical_population_label_cym,cdid,cdiddescrip,empty5,empty6,empty7,empty8,empty9,empty10,empty11,empty12,dim_id_1,dimension_label_eng_1,dimension_label_cym_1,dim_item_id_1,dimension_item_label_eng_1,dimension_item_label_cym_1,is_total_1,is_sub_total_1,dim_id_2,dimension_label_eng_2,dimension_label_cym_2,dim_item_id_2,dimension_item_label_eng_2,dimension_item_label_cym_2,is_total_2,is_sub_total_2,dim_id_3,dimension_label_eng_3,dimension_label_cym_3,dim_item_id_3,dimension_item_label_eng_3,dimension_item_label_cym_3,is_total_3,is_sub_total_3,dim_id_4,dimension_label_eng_4,dimension_label_cym_4,dim_item_id_4,dimension_item_label_eng_4,dimension_item_label_cym_4,is_total_4,is_sub_total_4,dim_id_5,dimension_label_eng_5,dimension_label_cym_5,dim_item_id_5,dimension_item_label_eng_5,dimension_item_label_cym_5,is_total_5,is_sub_total_5
02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SICABS01,SICABS01,,02,02,,,,SIC 1,SIC 1,,Forestry and logging,Forestry and logging,,,,SIC 2,SIC 2,,,,,,,SIC 3,SIC 3,,,,,,,SIC 4,SIC 4,,,,,,
02.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SICABS01,SICABS01,,02.1,02.1,,,,SIC 1,SIC 1,,Silviculture and other forestry activities,Silviculture and other forestry activities,,,,SIC 2,SIC 2,,,,,,,SIC 3,SIC 3,,,,,,,SIC 4,SIC 4,,,,,,
02.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SICABS01,SICABS01,,02.2,02.2,,,,SIC 1,SIC 1,,Logging,Logging,,,,SIC 2,SIC 2,,,,,,,SIC 3,SIC 3,,,,,,,SIC 4,SIC 4,,,,,,
02.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SICABS01,SICABS01,,02.3,02.3,,,,SIC 1,SIC 1,,Gathering of wild growing non-wood,Gathering of wild growing non-wood,,,,SIC 2,SIC 2,,products,products,,,,SIC 3,SIC 3,,,,,,,SIC 4,SIC 4,,,,,,
02.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SICABS01,SICABS01,,02.4,02.4,,,,SIC 1,SIC 1,,Support services to forestry,Support services to forestry,,,,SIC 2,SIC 2,,,,,,,SIC 3,SIC 3,,,,,,,SIC 4,SIC 4,,,,,,
03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SICABS01,SICABS01,,03,03,,,,SIC 1,SIC 1,,Fishing and aquaculture,Fishing and aquaculture,,,,SIC 2,SIC 2,,,,,,,SIC 3,SIC 3,,,,,,,SIC 4,SIC 4,,,,,,
03.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SICABS01,SICABS01,,03.1,03.1,,,,SIC 1,SIC 1,,Fishing,Fishing,,,,SIC 2,SIC 2,,,,,,,SIC 3,SIC 3,,,,,,,SIC 4,SIC 4,,,,,,
03.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SICABS01,SICABS01,,03.11,03.11,,,,SIC 1,SIC 1,,Marine fishing,Marine fishing,,,,SIC 2,SIC 2,,,,,,,SIC 3,SIC 3,,,,,,,SIC 4,SIC 4,,,,,,
03.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SICABS01,SICABS01,,03.12,03.12,,,,SIC 1,SIC 1,,Freshwater fishing,Freshwater fishing,,,,SIC 2,SIC 2,,,,,,,SIC 3,SIC 3,,,,,,,SIC 4,SIC 4,,,,,,
03.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SICABS01,SICABS01,,03.2,03.2,,,,SIC 1,SIC 1,,Aquaculture,Aquaculture,,,,SIC 2,SIC 2,,,,,,,SIC 3,SIC 3,,,,,,,SIC 4,SIC 4,,,,,,
03.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SICABS01,SICABS01,,03.21,03.21,,,,SIC 1,SIC 1,,Marine aquaculture,Marine aquaculture,,,,SIC 2,SIC 2,,,,,,,SIC 3,SIC 3,,,,,,,SIC 4,SIC 4,,,,,,
03.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SICABS01,SICABS01,,03.22,03.22,,,,SIC 1,SIC 1,,Freshwater aquaculture,Freshwater aquaculture,,,,SIC 2,SIC 2,,,,,,,SIC 3,SIC 3,,,,,,,SIC 4,SIC 4,,,,,,
,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SICABS01,SICABS01,,B,B,,,,SIC 1,SIC 1,,Mining and quarrying,Mining and quarrying,,,,SIC 2,SIC 2,,,,,,,SIC 3,SIC 3,,,,,,,SIC 4,SIC 4,,,,,,
05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SICABS01,SICABS01,,05,05,,,,SIC 1,SIC 1,,Mining of coal and lignite,Mining of coal and lignite,,,,SIC 2,SIC 2,,,,,,,SIC 3,SIC 3,,,,,,,SIC 4,SIC 4,,,,,,
05.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SICABS01,SICABS01,,05.1,05.1,,,,SIC 1,SIC 1,,Mining of hard coal,Mining of hard coal,,,,SIC 2,SIC 2,,,,,,,SIC 3,SIC 3,,,,,,,SIC 4,SIC 4,,,,,,
05.10,/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SICABS01,SICABS01,,05.10/1,05.10/1,,,,SIC 1,SIC 1,,Mining of hard coal from deep coal,Mining of hard coal from deep coal,,,,SIC 2,SIC 2,,mines (underground mining),mines (underground mining),,,,SIC 3,SIC 3,,,,,,,SIC 4,SIC 4,,,,,,
05.10,/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SICABS01,SICABS01,,05.10/2,05.10/2,,,,SIC 1,SIC 1,,Mining of hard coal from open cast coal,Mining of hard coal from open cast coal,,,,SIC 2,SIC 2,,working (surface mining),working (surface mining),,,,SIC 3,SIC 3,,,,,,,SIC 4,SIC 4,,,,,,
05.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SICABS01,SICABS01,,05.2,05.2,,,,SIC 1,SIC 1,,Mining of lignite,Mining of lignite,,,,SIC 2,SIC 2,,,,,,,SIC 3,SIC 3,,,,,,,SIC 4,SIC 4,,,,,,
06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SICABS01,SICABS01,,06,06,,,,SIC 1,SIC 1,,Extraction of crude petroleum and natural,Extraction of crude petroleum and natural,,,,SIC 2,SIC 2,,gas,gas,,,,SIC 3,SIC 3,,,,,,,SIC 4,SIC 4,,,,,,
06.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SICABS01,SICABS01,,06.1,06.1,,,,SIC 1,SIC 1,,Extraction of crude petroleum ,Extraction of crude petroleum ,,,,SIC 2,SIC 2,,,,,,,SIC 3,SIC 3,,,,,,,SIC 4,SIC 4,,,,,,
06.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SICABS01,SICABS01,,06.2,06.2,,,,SIC 1,SIC 1,,Extraction of natural gas,Extraction of natural gas,,,,SIC 2,SIC 2,,,,,,,SIC 3,SIC 3,,,,,,,SIC 4,SIC 4,,,,,,
07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SICABS01,SICABS01,,07,07,,,,SIC 1,SIC 1,,Mining of metal ores,Mining of metal ores,,,,SIC 2,SIC 2,,,,,,,SIC 3,SIC 3,,,,,,,SIC 4,SIC 4,,,,,,
07.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SICABS01,SICABS01,,07.1,07.1,,,,SIC 1,SIC 1,,Mining of iron ores,Mining of iron ores,,,,SIC 2,SIC 2,,,,,,,SIC 3,SIC 3,,,,,,,SIC 4,SIC 4,,,,,,
07.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SICABS01,SICABS01,,07.2,07.2,,,,SIC 1,SIC 1,,Mining of non-ferrous metal ores ,Mining of non-ferrous metal ores ,,,,SIC 2,SIC 2,,,,,,,SIC 3,SIC 3,,,,,,,SIC 4,SIC 4,,,,,,
07.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SICABS01,SICABS01,,07.21,07.21,,,,SIC 1,SIC 1,,Mining of uranium and thorium ores,Mining of uranium and thorium ores,,,,SIC 2,SIC 2,,,,,,,SIC 3,SIC 3,,,,,,,SIC 4,SIC 4,,,,,,
07.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SICABS01,SICABS01,,07.29,07.29,,,,SIC 1,SIC 1,,Mining of other non-ferrous metal ores,Mining of other non-ferrous metal ores,,,,SIC 2,SIC 2,,,,,,,SIC 3,SIC 3,,,,,,,SIC 4,SIC 4,,,,,,
08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SICABS01,SICABS01,,08,08,,,,SIC 1,SIC 1,,Other mining and quarrying ,Other mining and quarrying ,,,,SIC 2,SIC 2,,,,,,,SIC 3,SIC 3,,,,,,,SIC 4,SIC 4,,,,,,
08.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SICABS01,SICABS01,,08.1,08.1,,,,SIC 1,SIC 1,,"Quarrying of stone, sand and clay ","Quarrying of stone, sand and clay ",,,,SIC 2,SIC 2,,,,,,,SIC 3,SIC 3,,,,,,,SIC 4,SIC 4,,,,,,
08.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SICABS01,SICABS01,,08.11,08.11,,,,SIC 1,SIC 1,,"Quarrying of ornamental and building stone,","Quarrying of ornamental and building stone,",,,,SIC 2,SIC 2,,"limestone, gypsum, chalk and slate ","limestone, gypsum, chalk and slate ",,,,SIC 3,SIC 3,,,,,,,SIC 4,SIC 4,,,,,,
08.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SICABS01,SICABS01,,08.12,08.12,,,,SIC 1,SIC 1,,Operation of gravel and sand pits; mining of,Operation of gravel and sand pits; mining of,,,,SIC 2,SIC 2,,clays and kaolin,clays and kaolin,,,,SIC 3,SIC 3,,,,,,,SIC 4,SIC 4,,,,,,
08.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SICABS01,SICABS01,,08.9,08.9,,,,SIC 1,SIC 1,,Mining and quarrying n.e.c.,Mining and quarrying n.e.c.,,,,SIC 2,SIC 2,,,,,,,SIC 3,SIC 3,,,,,,,SIC 4,SIC 4,,,,,,
08.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SICABS01,SICABS01,,08.91,08.91,,,,SIC 1,SIC 1,,Mining of chemical and fertiliser minerals ,Mining of chemical and fertiliser minerals ,,,,SIC 2,SIC 2,,,,,,,SIC 3,SIC 3,,,,,,,SIC 4,SIC 4,,,,,,
08.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SICABS01,SICABS01,,08.92,08.92,,,,SIC 1,SIC 1,,Extraction of peat ,Extraction of peat ,,,,SIC 2,SIC 2,,,,,,,SIC 3,SIC 3,,,,,,,SIC 4,SIC 4,,,,,,
08.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SICABS01,SICABS01,,08.93,08.93,,,,SIC 1,SIC 1,,Extraction of salt ,Extraction of salt ,,,,SIC 2,SIC 2,,,,,,,SIC 3,SIC 3,,,,,,,SIC 4,SIC 4,,,,,,
08.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SICABS01,SICABS01,,08.99,08.99,,,,SIC 1,SIC 1,,Other mining and quarrying n.e.c.,Other mining and quarrying n.e.c.,,,,SIC 2,SIC 2,,,,,,,SIC 3,SIC 3,,,,,,,SIC 4,SIC 4,,,,,,
09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SICABS01,SICABS01,,09,09,,,,SIC 1,SIC 1,,Mining support service activities ,Mining support service activities ,,,,SIC 2,SIC 2,,,,,,,SIC 3,SIC 3,,,,,,,SIC 4,SIC 4,,,,,,
09.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SICABS01,SICABS01,,09.1,09.1,,,,SIC 1,SIC 1,,Support activities for petroleum and natural,Support activities for petroleum and natural,,,,SIC 2,SIC 2,,gas extraction ,gas extraction ,,,,SIC 3,SIC 3,,,,,,,SIC 4,SIC 4,,,,,,
09.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SICABS01,SICABS01,,09.9,09.9,,,,SIC 1,SIC 1,,Support activities for other mining quarrying,Support activities for other mining quarrying,,,,SIC 2,SIC 2,,,,,,,SIC 3,SIC 3,,,,,,,SIC 4,SIC 4,,,,,,
,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SICABS01,SICABS01,,C ,C ,,,,SIC 1,SIC 1,,Manufacturing ,Manufacturing ,,,,SIC 2,SIC 2,,,,,,,SIC 3,SIC 3,,,,,,,SIC 4,SIC 4,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SICABS01,SICABS01,,10,10,,,,SIC 1,SIC 1,,Manufacture of food products ,Manufacture of food products ,,,,SIC 2,SIC 2,,,,,,,SIC 3,SIC 3,,,,,,,SIC 4,SIC 4,,,,,,
10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SICABS01,SICABS01,,10.1,10.1,,,,SIC 1,SIC 1,,Processing and preserving of meat and ,Processing and preserving of meat and ,,,,SIC 2,SIC 2,,production of meat products ,production of meat products ,,,,SIC 3,SIC 3,,,,,,,SIC 4,SIC 4,,,,,,
10.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SICABS01,SICABS01,,10.11,10.11,,,,SIC 1,SIC 1,,Processing and preserving of meat ,Processing and preserving of meat ,,,,SIC 2,SIC 2,,,,,,,SIC 3,SIC 3,,,,,,,SIC 4,SIC 4,,,,,,
10.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SICABS01,SICABS01,,10.12,10.12,,,,SIC 1,SIC 1,,Processing and preserving of poultry meat,Processing and preserving of poultry meat,,,,SIC 2,SIC 2,,,,,,,SIC 3,SIC 3,,,,,,,SIC 4,SIC 4,,,,,,
10.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SICABS01,SICABS01,,10.13,10.13,,,,SIC 1,SIC 1,,Production of meat and poultry meat ,Production of meat and poultry meat ,,,,SIC 2,SIC 2,,products ,products ,,,,SIC 3,SIC 3,,,,,,,SIC 4,SIC 4,,,,,,
10.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SICABS01,SICABS01,,10.2,10.2,,,,SIC 1,SIC 1,,"Processing and preserving of fish, ","Processing and preserving of fish, ",,,,SIC 2,SIC 2,,crustaceans and molluscs,crustaceans and molluscs,,,,SIC 3,SIC 3,,,,,,,SIC 4,SIC 4,,,,,,
10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SICABS01,SICABS01,,10.3,10.3,,,,SIC 1,SIC 1,,Processing and preserving of fruit and ,Processing and preserving of fruit and ,,,,SIC 2,SIC 2,,vegetables,vegetables,,,,SIC 3,SIC 3,,,,,,,SIC 4,SIC 4,,,,,,
10.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SICABS01,SICABS01,,10.31,10.31,,,,SIC 1,SIC 1,,Processing and preserving of potatoes ,Processing and preserving of potatoes ,,,,SIC 2,SIC 2,,,,,,,SIC 3,SIC 3,,,,,,,SIC 4,SIC 4,,,,,,
10.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SICABS01,SICABS01,,10.32,10.32,,,,SIC 1,SIC 1,,Manufacture of fruit and vegetable juice ,Manufacture of fruit and vegetable juice ,,,,SIC 2,SIC 2,,,,,,,SIC 3,SIC 3,,,,,,,SIC 4,SIC 4,,,,,,
10.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SICABS01,SICABS01,,10.39,10.39,,,,SIC 1,SIC 1,,Other processing and preserving of fruit,Other processing and preserving of fruit,,,,SIC 2,SIC 2,,vegetables,vegetables,,,,SIC 3,SIC 3,,,,,,,SIC 4,SIC 4,,,,,,
10.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SICABS01,SICABS01,,10.4,10.4,,,,SIC 1,SIC 1,,Manufacture of vegetable and animal oils,Manufacture of vegetable and animal oils,,,,SIC 2,SIC 2,,and fats ,and fats ,,,,SIC 3,SIC 3,,,,,,,SIC 4,SIC 4,,,,,,
10.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SICABS01,SICABS01,,10.41,10.41,,,,SIC 1,SIC 1,,Manufacture of oils and fats ,Manufacture of oils and fats ,,,,SIC 2,SIC 2,,,,,,,SIC 3,SIC 3,,,,,,,SIC 4,SIC 4,,,,,,
10.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SICABS01,SICABS01,,10.42,10.42,,,,SIC 1,SIC 1,,Manufacture of margarine and similar edible ,Manufacture of margarine and similar edible ,,,,SIC 2,SIC 2,,fats ,fats ,,,,SIC 3,SIC 3,,,,,,,SIC 4,SIC 4,,,,,,
10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SICABS01,SICABS01,,10.5,10.5,,,,SIC 1,SIC 1,,Manufacture of dairy products ,Manufacture of dairy products ,,,,SIC 2,SIC 2,,,,,,,SIC 3,SIC 3,,,,,,,SIC 4,SIC 4,,,,,,
10.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SICABS01,SICABS01,,10.51,10.51,,,,SIC 1,SIC 1,,Operation of dairy and cheese making ,Operation of dairy and cheese making ,,,,SIC 2,SIC 2,,,,,,,SIC 3,SIC 3,,,,,,,SIC 4,SIC 4,,,,,,
10.51,/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SICABS01,SICABS01,,10.51/1,10.51/1,,,,SIC 1,SIC 1,,Liquid milk and cream production ,Liquid milk and cream production ,,,,SIC 2,SIC 2,,,,,,,SIC 3,SIC 3,,,,,,,SIC 4,SIC 4,,,,,,
10.51,/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SICABS01,SICABS01,,10.51/2,10.51/2,,,,SIC 1,SIC 1,,Butter and cheese production ,Butter and cheese production ,,,,SIC 2,SIC 2,,,,,,,SIC 3,SIC 3,,,,,,,SIC 4,SIC 4,,,,,,
10.51,/9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SICABS01,SICABS01,,10.51/9,10.51/9,,,,SIC 1,SIC 1,,Manufacture of milk products (other than,Manufacture of milk products (other than,,,,SIC 2,SIC 2,,"liquid milk and cream, butter cheese) n.e.c.","liquid milk and cream, butter cheese) n.e.c.",,,,SIC 3,SIC 3,,,,,,,SIC 4,SIC 4,,,,,,
10.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SICABS01,SICABS01,,10.52,10.52,,,,SIC 1,SIC 1,,Manufacture of ice cream ,Manufacture of ice cream ,,,,SIC 2,SIC 2,,,,,,,SIC 3,SIC 3,,,,,,,SIC 4,SIC 4,,,,,,
10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SICABS01,SICABS01,,10.6,10.6,,,,SIC 1,SIC 1,,"Manufacture of grain mill products, starches ","Manufacture of grain mill products, starches ",,,,SIC 2,SIC 2,,and starch products ,and starch products ,,,,SIC 3,SIC 3,,,,,,,SIC 4,SIC 4,,,,,,
10.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SICABS01,SICABS01,,10.61,10.61,,,,SIC 1,SIC 1,,Manufacture of grain mill products ,Manufacture of grain mill products ,,,,SIC 2,SIC 2,,,,,,,SIC 3,SIC 3,,,,,,,SIC 4,SIC 4,,,,,,
10.61,/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SICABS01,SICABS01,,10.61/1,10.61/1,,,,SIC 1,SIC 1,,Grain milling ,Grain milling ,,,,SIC 2,SIC 2,,,,,,,SIC 3,SIC 3,,,,,,,SIC 4,SIC 4,,,,,,
10.61,/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SICABS01,SICABS01,,10.61/2,10.61/2,,,,SIC 1,SIC 1,,Manufacture of breakfast cereals and ,Manufacture of breakfast cereals and ,,,,SIC 2,SIC 2,,cereals-based foods ,cereals-based foods ,,,,SIC 3,SIC 3,,,,,,,SIC 4,SIC 4,,,,,,
10.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SICABS01,SICABS01,,10.62,10.62,,,,SIC 1,SIC 1,,Manufacture of starches and starch  ,Manufacture of starches and starch  ,,,,SIC 2,SIC 2,,products,products,,,,SIC 3,SIC 3,,,,,,,SIC 4,SIC 4,,,,,,
10.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SICABS01,SICABS01,,10.7,10.7,,,,SIC 1,SIC 1,,Manufacture of bakery and farinaceous ,Manufacture of bakery and farinaceous ,,,,SIC 2,SIC 2,,products ,products ,,,,SIC 3,SIC 3,,,,,,,SIC 4,SIC 4,,,,,,
10.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SICABS01,SICABS01,,10.71,10.71,,,,SIC 1,SIC 1,,Manufacture of bread; manufacture of fresh ,Manufacture of bread; manufacture of fresh ,,,,SIC 2,SIC 2,,pastry goods and cakes ,pastry goods and cakes ,,,,SIC 3,SIC 3,,,,,,,SIC 4,SIC 4,,,,,,
10.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SICABS01,SICABS01,,10.72,10.72,,,,SIC 1,SIC 1,,Manufacture of rusks and biscuits,Manufacture of rusks and biscuits,,,,SIC 2,SIC 2,,manufacture of preserved pastry goods and ,manufacture of preserved pastry goods and ,,,,SIC 3,SIC 3,,cakes ,cakes ,,,,SIC 4,SIC 4,,,,,,
10.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SICABS01,SICABS01,,10.73,10.73,,,,SIC 1,SIC 1,,"Manufacture of macaroni, noodles, ","Manufacture of macaroni, noodles, ",,,,SIC 2,SIC 2,,couscous and similar farinaceous products,couscous and similar farinaceous products,,,,SIC 3,SIC 3,,,,,,,SIC 4,SIC 4,,,,,,
10.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SICABS01,SICABS01,,10.8,10.8,,,,SIC 1,SIC 1,,Manufacture of other food products ,Manufacture of other food products ,,,,SIC 2,SIC 2,,,,,,,SIC 3,SIC 3,,,,,,,SIC 4,SIC 4,,,,,,
10.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SICABS01,SICABS01,,10.81,10.81,,,,SIC 1,SIC 1,,Manufacture of sugar ,Manufacture of sugar ,,,,SIC 2,SIC 2,,,,,,,SIC 3,SIC 3,,,,,,,SIC 4,SIC 4,,,,,,
